country,penetration,year,indicator
China *,52.3,2016,penetration rate
India,36.5,2016,penetration rate
United States,87.4,2016,penetration rate
Brazil,57.6,2016,penetration rate
Indonesia,34.1,2016,penetration rate
Japan,91,2016,penetration rate
Russia,70.5,2016,penetration rate
Nigeria,51.1,2016,penetration rate
Bangladesh,33.1,2016,penetration rate
Germany,88.4,2016,penetration rate
Mexico,49.3,2016,penetration rate
Vietnam,51.5,2016,penetration rate
United Kingdom,91.6,2016,penetration rate
Philippines,52.6,2016,penetration rate
Thailand,60.1,2016,penetration rate
Iran,68.5,2016,penetration rate
France,83.8,2016,penetration rate
Italy,62,2016,penetration rate
"Korea, South",92.1,2016,penetration rate
Turkey,59.6,2016,penetration rate
Pakistan,17.8,2016,penetration rate
Kenya,69.6,2016,penetration rate
Egypt,37,2016,penetration rate
Spain,76.9,2016,penetration rate
Argentina,80.1,2016,penetration rate
Canada,94.5,2016,penetration rate
South Africa,49,2016,penetration rate
Colombia,59.1,2016,penetration rate
Poland,67.5,2016,penetration rate
Malaysia,68.1,2016,penetration rate
Saudi Arabia,64.7,2016,penetration rate
Australia,93.1,2016,penetration rate
Taiwan,83.8,2016,penetration rate
Morocco,60.6,2016,penetration rate
Ukraine,43.4,2016,penetration rate
Uganda,32.1,2016,penetration rate
Algeria,27.3,2016,penetration rate
Venezuela,61.5,2016,penetration rate
Peru,52.6,2016,penetration rate
Netherlands,95.5,2016,penetration rate
Ethiopia,4.2,2016,penetration rate
Uzbekistan,52.4,2016,penetration rate
Chile,72.3,2016,penetration rate
Iraq,37.3,2016,penetration rate
Kazakhstan,54.3,2016,penetration rate
Myanmar,19.3,2016,penetration rate
Ecuador,84.9,2016,penetration rate
Sudan,25.8,2016,penetration rate
Romania,56.3,2016,penetration rate
Belgium,85,2016,penetration rate
Ghana,29.6,2016,penetration rate
Czech Republic,79.7,2016,penetration rate
Sweden,94.6,2016,penetration rate
United Arab Emirates,91.9,2016,penetration rate
Hungary,76.1,2016,penetration rate
Azerbaijan,61,2016,penetration rate
Tanzania,14.9,2016,penetration rate
Switzerland,87.2,2016,penetration rate
Austria,83.1,2016,penetration rate
Greece,63.2,2016,penetration rate
Portugal,67.6,2016,penetration rate
Yemen,24.7,2016,penetration rate
Zimbabwe,47.5,2016,penetration rate
Sri Lanka,27.4,2016,penetration rate
Israel,72.7,2016,penetration rate
Hong Kong *,80.2,2016,penetration rate
Nepal,19.9,2016,penetration rate
Cote d'Ivoire,22,2016,penetration rate
Jordan,73.6,2016,penetration rate
Cameroon,17.7,2016,penetration rate
Dominican Republic,57.8,2016,penetration rate
Syria,29.6,2016,penetration rate
Angola,29.5,2016,penetration rate
Tunisia,49,2016,penetration rate
Belarus,59,2016,penetration rate
Denmark,96,2016,penetration rate
Guatemala,31.5,2016,penetration rate
Zambia,18,2016,penetration rate
Mozambique,5.9,2016,penetration rate
Finland,93.5,2016,penetration rate
"Congo, Dem. Rep.",3.8,2016,penetration rate
Norway,96.3,2016,penetration rate
Serbia,66.2,2016,penetration rate
Singapore,81.3,2016,penetration rate
Bolivia,39,2016,penetration rate
Lebanon,75.9,2016,penetration rate
Slovakia,83.1,2016,penetration rate
Ireland,82.5,2016,penetration rate
Costa Rica,88,2016,penetration rate
Bulgaria,56.7,2016,penetration rate
Senegal,51.9,2016,penetration rate
Cambodia,25.7,2016,penetration rate
New Zealand,93.8,2016,penetration rate
Afganistan,12,2016,penetration rate
Rwanda,25.4,2016,penetration rate
Cuba,30,2016,penetration rate
Oman,71.1,2016,penetration rate
Kuwait,79.9,2016,penetration rate
Paraguay,43,2016,penetration rate
Croatia,75,2016,penetration rate
El Salvador,47.2,2016,penetration rate
Puerto Rico,78.8,2016,penetration rate
Libya,37.4,2016,penetration rate
Panama,52,2016,penetration rate
Honduras,27.4,2016,penetration rate
Burkina Faso,9.7,2016,penetration rate
Bosnia-Herzegovina,68.7,2016,penetration rate
Georgia,48.9,2016,penetration rate
Uruguay,65.8,2016,penetration rate
Lithuania,82.1,2016,penetration rate
Mali,7,2016,penetration rate
Qatar,97.4,2016,penetration rate
South Sudan,15.9,2016,penetration rate
Armenia,69.7,2016,penetration rate
Kyrgystan,36.2,2016,penetration rate
Nicaragua,27.1,2016,penetration rate
