country,value,year,indicator,report
United Kingdom,23.1,2016,Average Mbps,Q2 Report
Cyprus *,20,2016,Average Mbps,Q2 Report
Germany,17,2016,Average Mbps,Q2 Report
Switzerland *,19.3,2016,Average Mbps,Q2 Report
Finland,15.6,2016,Average Mbps,Q2 Report
France,12.7,2016,Average Mbps,Q2 Report
Norway,15.6,2016,Average Mbps,Q2 Report
Denmark,11.7,2016,Average Mbps,Q2 Report
Belgium,21.1,2016,Average Mbps,Q2 Report
Romania,10.9,2016,Average Mbps,Q2 Report
Australia,8.9,2016,Average Mbps,Q2 Report
Japan,9.5,2016,Average Mbps,Q2 Report
Netherlands,10.5,2016,Average Mbps,Q2 Report
Latvia *,11.3,2016,Average Mbps,Q2 Report
Slovakia,13.3,2016,Average Mbps,Q2 Report
Spain,13.1,2016,Average Mbps,Q2 Report
Kenya,5.2,2016,Average Mbps,Q2 Report
Qatar *,12.6,2016,Average Mbps,Q2 Report
Austria,11.6,2016,Average Mbps,Q2 Report
Sweden,11,2016,Average Mbps,Q2 Report
Ireland,12.4,2016,Average Mbps,Q2 Report
Taiwan,9.3,2016,Average Mbps,Q2 Report
New Zealand,9.8,2016,Average Mbps,Q2 Report
Indonesia,6.9,2016,Average Mbps,Q2 Report
Italy,10.6,2016,Average Mbps,Q2 Report
Egypt,6.7,2016,Average Mbps,Q2 Report
Hungary,9.6,2016,Average Mbps,Q2 Report
South Korea,11.1,2016,Average Mbps,Q2 Report
Greece,7.5,2016,Average Mbps,Q2 Report
Slovenia,8.6,2016,Average Mbps,Q2 Report
Estonia,9.4,2016,Average Mbps,Q2 Report
United States,6.7,2016,Average Mbps,Q2 Report
Luxembourg *,11.1,2016,Average Mbps,Q2 Report
Turkey,8.2,2016,Average Mbps,Q2 Report
Canada,8.4,2016,Average Mbps,Q2 Report
Kuwait,7.4,2016,Average Mbps,Q2 Report
United Arab Emirates,8.4,2016,Average Mbps,Q2 Report
Russia,10.7,2016,Average Mbps,Q2 Report
Lithuania,7.6,2016,Average Mbps,Q2 Report
Bulgaria *,6.9,2016,Average Mbps,Q2 Report
Poland,11.8,2016,Average Mbps,Q2 Report
Croatia,7.2,2016,Average Mbps,Q2 Report
China,6.7,2016,Average Mbps,Q2 Report
Israel,6.9,2016,Average Mbps,Q2 Report
Philippines *,8.5,2016,Average Mbps,Q2 Report
Thailand,5.8,2016,Average Mbps,Q2 Report
Singapore,8.1,2016,Average Mbps,Q2 Report
Malta *,9.2,2016,Average Mbps,Q2 Report
Peru,6.9,2016,Average Mbps,Q2 Report
Paraguay,5.2,2016,Average Mbps,Q2 Report
Iran,5.4,2016,Average Mbps,Q2 Report
Mexico *,6.5,2016,Average Mbps,Q2 Report
Czech Republic,7.3,2016,Average Mbps,Q2 Report
Chile,4.2,2016,Average Mbps,Q2 Report
South Africa,4.9,2016,Average Mbps,Q2 Report
Sri Lanka,5,2016,Average Mbps,Q2 Report
Portugal,7.3,2016,Average Mbps,Q2 Report
Hong Kong,5.7,2016,Average Mbps,Q2 Report
Colombia,3.3,2016,Average Mbps,Q2 Report
Saudi Arabia,4.4,2016,Average Mbps,Q2 Report
Vietnam,2.8,2016,Average Mbps,Q2 Report
Morocco,5.5,2016,Average Mbps,Q2 Report
Brazil,3.9,2016,Average Mbps,Q2 Report
Argentina,2.8,2016,Average Mbps,Q2 Report
India,3.3,2016,Average Mbps,Q2 Report
Uruguay,3.1,2016,Average Mbps,Q2 Report
Ecuador *,2.8,2016,Average Mbps,Q2 Report
