Language,value,indicator,year
English,25.5,Share of Users,2017
Chinese,20.4,Share of Users,2017
Spanish,7.9,Share of Users,2017
Arabic,4.6,Share of Users,2017
Portuguese,4.1,Share of Users,2017
Indonesian / Malaysian,4.1,Share of Users,2017
Japanese,3.2,Share of Users,2017
Russian,2.8,Share of Users,2017
French,2.7,Share of Users,2017
German,2.2,Share of Users,2017
Rest of the Languages,22.5,Share of Users,2017
English,51.3,Share of Content,2017
Chinese,2,Share of Content,2017
Spanish,5.1,Share of Content,2017
Arabic,0.7,Share of Content,2017
Portuguese,2.6,Share of Content,2017
Indonesian / Malaysian,0.5,Share of Content,2017
Japanese,5.6,Share of Content,2017
Russian,6.7,Share of Content,2017
French,4.1,Share of Content,2017
German,5.6,Share of Content,2017
Rest of the Languages,15.8,Share of Content,2017
English,-3.04,Change in Users,2017
Chinese,-1.92,Change in Users,2017
Spanish,2.6,Change in Users,2017
Arabic,-2.13,Change in Users,2017
Portuguese,-4.65,Change in Users,2017
Indonesian / Malaysian,,Change in Users,2017
Japanese,0,Change in Users,2017
Russian,-3.45,Change in Users,2017
French,-3.57,Change in Users,2017
German,-4.35,Change in Users,2017
Rest of the Languages,6.4,Change in Users,2017
English,-1.91,Change in Content,2017
Chinese,0,Change in Content,2017
Spanish,2,Change in Content,2017
Arabic,-12.5,Change in Content,2017
Portuguese,0,Change in Content,2017
Indonesian / Malaysian,,Change in Content,2017
Japanese,-1.75,Change in Content,2017
Russian,4.69,Change in Content,2017
French,2.5,Change in Content,2017
German,3.7,Change in Content,2017
Rest of the Languages,3.16,Change in Content,2017
English,26.3,Percentage of internet users,2016
Russian,2.9,Percentage of internet users,2016
German,2.3,Percentage of internet users,2016
Japanese,3.2,Percentage of internet users,2016
Spanish,7.7,Percentage of internet users,2016
French,2.8,Percentage of internet users,2016
Portuguese,4.3,Percentage of internet users,2016
Chinese,20.8,Percentage of internet users,2016
Arabic,4.7,Percentage of internet users,2016
English,52.3,Percentage of internet content,2016
Russian,6.4,Percentage of internet content,2016
German,5.4,Percentage of internet content,2016
Japanese,5.7,Percentage of internet content,2016
Spanish,5,Percentage of internet content,2016
French,4,Percentage of internet content,2016
Portuguese,2.6,Percentage of internet content,2016
Chinese,2,Percentage of internet content,2016
Arabic,0.8,Percentage of internet content,2016
