country,category,year
Argentina,Protections,2016
Australia,Considering protections,2016
Austria,Considering protections,2016
Belgium,Considering protections,2016
Brazil,Protections,2016
Bulgaria,Considering protections,2016
Canada,Protections,2016
Chile,Protections,2016
China,Considering protections,2016
Colombia,Protections,2016
Croatia,Considering protections,2016
Cyprus,Considering protections,2016
Czech Republic,Considering protections,2016
Denmark,Considering protections,2016
Ecuador,Protections,2016
Estonia,Considering protections,2016
Finland,Protections,2016
France,Considering protections,2016
Germany,Considering protections,2016
Greece,Considering protections,2016
Hungary,Considering protections,2016
Iceland,Protections,2016
India,Protections,2016
Ireland,Considering protections,2016
Israel,Protections,2016
Italy,Considering protections,2016
Japan,Protections,2016
Latvia,Considering protections,2016
Lithuania,Considering protections,2016
Luxembourg,Considering protections,2016
Netherlands,Protections,2016
Nigeria,Considering protections,2016
Norway,Protections,2016
Pakistan,Considering protections,2016
Paraguay,Protections,2016
Peru,Protections,2016
Poland,Considering protections,2016
Portugal,Considering protections,2016
Romania,Considering protections,2016
Russia,No protections,2016
Slovakia,Considering protections,2016
Slovenia,Protections,2016
South Africa,Considering protections,2016
Spain,Considering protections,2016
Sweden,Considering protections,2016
Switzerland,Protections,2016
Tunisia,Protections,2016
Turkey,Protections,2016
United Kingdom,Considering protections,2016
United States,Protections,2016
Argentina,Protections,2017
Australia,Considering protections,2017
Austria,Protections,2017
Belgium,Protections,2017
Brazil,Protections,2017
Bulgaria,Protections,2017
Canada,Protections,2017
Chile,Protections,2017
China,No Protections,2017
Colombia,Protections,2017
Croatia,Protections,2017
Cyprus,Protections,2017
Czech Republic,Protections,2017
Denmark,Protections,2017
Ecuador,Protections,2017
Estonia,Protections,2017
Finland,Protections,2017
France,Protections,2017
Germany,Protections,2017
Greece,Protections,2017
Hungary,Protections,2017
Iceland,Protections,2017
India,Protections,2017
Ireland,Protections,2017
Israel,Protections,2017
Italy,Protections,2017
Japan,Protections,2017
Latvia,Considering protections,2017
Lithuania,Protections,2017
Luxembourg,Protections,2017
Netherlands,Protections,2017
Nigeria,Considering protections,2017
Norway,Protections,2017
Pakistan,Considering protections,2017
Paraguay,Protections,2017
Peru,Protections,2017
Poland,Protections,2017
Portugal,Protections,2017
Romania,Protections,2017
Russia,No protections,2017
Slovakia,Protections,2017
Slovenia,Protections,2017
South Africa,Considering protections,2017
Spain,Protections,2017
Sweden,Protections,2017
Switzerland,Protections,2017
Tunisia,Protections,2017
Turkey,Protections,2017
United Kingdom,Protections,2017
United States,Protections,2017
