name,value,year,indicator
Facebook,1712000000,2016,Social Network
WhatsApp,1000000000,2016,Social Network
Facebook Messenger,1000000000,2016,Social Network
QQ,899000000,2016,Social Network
WeChat,806000000,2016,Social Network
QZone,652000000,2016,Social Network
Tumblr,555000000,2016,Social Network
Instagram,500000000,2016,Social Network
Twitter,313000000,2016,Social Network
Baidu Tieba,300000000,2016,Social Network
Skype,300000000,2016,Social Network
Sina Weibo,282000000,2016,Social Network
Viber,249000000,2016,Social Network
LINE,218000000,2016,Social Network
Snapchat,200000000,2016,Social Network
yy,122000000,2016,Social Network
LinkedIn*,106000000,2016,Social Network
VKontakte,100000000,2016,Social Network
Pinterest,100000000,2016,Social Network
BBM,100000000,2016,Social Network
Telegram,100000000,2016,Social Network
Facebook,2047000000,2017,Social Network
WhatsApp,1200000000,2017,Social Network
Facebook Messenger,1200000000,2017,Social Network
QQ,861000000,2017,Social Network
WeChat,938000000,2017,Social Network
QZone,638000000,2017,Social Network
Tumblr,357000000,2017,Social Network
Instagram,700000000,2017,Social Network
Twitter,328000000,2017,Social Network
Baidu Tieba,300000000,2017,Social Network
Skype,300000000,2017,Social Network
Sina Weibo,313000000,2017,Social Network
Viber,260000000,2017,Social Network
LINE,214000000,2017,Social Network
Snapchat,255000000,2017,Social Network
yy,122000000,2017,Social Network
LinkedIn*,106000000,2017,Social Network
VKontakte,81000000,2017,Social Network
Pinterest,175000000,2017,Social Network
BBM,63000000,2017,Social Network
Telegram,100000000,2017,Social Network
Facebook,19.57%,2017,Social Network YoY Change
WhatsApp,20.00%,2017,Social Network YoY Change
Facebook Messenger,20.00%,2017,Social Network YoY Change
QQ,-4.23%,2017,Social Network YoY Change
WeChat,16.38%,2017,Social Network YoY Change
QZone,-2.15%,2017,Social Network YoY Change
Tumblr,-35.68%,2017,Social Network YoY Change
Instagram,40.00%,2017,Social Network YoY Change
Twitter,4.79%,2017,Social Network YoY Change
Baidu Tieba,0.00%,2017,Social Network YoY Change
Skype,0.00%,2017,Social Network YoY Change
Sina Weibo,10.99%,2017,Social Network YoY Change
Viber,4.42%,2017,Social Network YoY Change
LINE,-1.83%,2017,Social Network YoY Change
Snapchat,27.50%,2017,Social Network YoY Change
yy,0.00%,2017,Social Network YoY Change
LinkedIn*,0.00%,2017,Social Network YoY Change
VKontakte,-19.00%,2017,Social Network YoY Change
Pinterest,75.00%,2017,Social Network YoY Change
BBM,-37.00%,2017,Social Network YoY Change
Telegram,0.00%,2017,Social Network YoY Change
