name,value,year,indicator,source
Samsung,22.7,Q2 2016,Makers market share,
Apple,11.7,Q2 2016,Makers market share,
Huawei,9.3,Q2 2016,Makers market share,
Oppo,6.6,Q2 2016,Makers market share,
Xiaomi,3.9,Q2 2016,Makers market share,
Other,45.9,Q2 2016,Makers market share,
Samsung,23.3,Q2 2017,Makers market share,
Apple,12,Q2 2017,Makers market share,
Huawei,11.3,Q2 2017,Makers market share,
Oppo,8.1,Q2 2017,Makers market share,
Xiaomi,6.2,Q2 2017,Makers market share,
Other,39,Q2 2017,Makers market share,
Samsung,2.64,Q2 2017,YoY Change,
Apple,2.56,Q2 2017,YoY Change,
Huawei,21.51,Q2 2017,YoY Change,
Oppo,22.73,Q2 2017,YoY Change,
Xiaomi,58.97,Q2 2017,YoY Change,
Other,-15.03,Q2 2017,YoY Change,
Samsung,32.17,2016,Makers market share,StatCounter
Apple,20.07,2016,Makers market share,StatCounter
Huawei,3.87,2016,Makers market share,StatCounter
LG,4.32,2016,Makers market share,StatCounter
Nokia,5.09,2016,Makers market share,StatCounter
Lenovo,2.24,2016,Makers market share,StatCounter
Xiaomi,0.94,2016,Makers market share,StatCounter
Motorola,2.23,2016,Makers market share,StatCounter
Oppo,0.41,2016,Makers market share,StatCounter
Sony Ericsson,2.26,2016,Makers market share,StatCounter
Micromax,1.95,2016,Makers market share,StatCounter
HTC,1.98,2016,Makers market share,StatCounter
Other,22.47,2016,Makers market share,StatCounter
Samsung,33.12,2017,Makers market share,StatCounter
Apple,20.32,2017,Makers market share,StatCounter
Huawei,4.7,2017,Makers market share,StatCounter
LG,3.82,2017,Makers market share,StatCounter
Nokia,2.2,2017,Makers market share,StatCounter
Lenovo,2.91,2017,Makers market share,StatCounter
Xiaomi,3.58,2017,Makers market share,StatCounter
Motorola,2.29,2017,Makers market share,StatCounter
Oppo,2.98,2017,Makers market share,StatCounter
Sony Ericsson,1.63,2017,Makers market share,StatCounter
Micromax,1.23,2017,Makers market share,StatCounter
HTC,1.38,2017,Makers market share,StatCounter
Other,19.84,2017,Makers market share,StatCounter
Samsung,2.95%,2017,YoY Change,StatCounter
Apple,1.25%,2017,YoY Change,StatCounter
Huawei,21.45%,2017,YoY Change,StatCounter
LG,-11.57%,2017,YoY Change,StatCounter
Nokia,-56.78%,2017,YoY Change,StatCounter
Lenovo,29.91%,2017,YoY Change,StatCounter
Xiaomi,280.85%,2017,YoY Change,StatCounter
Motorola,2.69%,2017,YoY Change,StatCounter
Oppo,626.83%,2017,YoY Change,StatCounter
Sony Ericsson,-27.88%,2017,YoY Change,StatCounter
Micromax,-36.92%,2017,YoY Change,StatCounter
HTC,-30.30%,2017,YoY Change,StatCounter
Other,-11.70%,2017,YoY Change,StatCounter
