Year,Month,Day,Total IPv6 %,non-relayed IPv6,Moving Average
2017,8,12,16.681415,16.658104,18.0880635
2017,8,11,16.763412,16.740792,18.1165335
2017,8,10,19.830628,19.803136,18.1236995
2017,8,9,20.497795,20.468522,17.84200417
2017,8,8,17.791575,17.766954,17.76638133
2017,8,7,16.963556,16.940368,18.257329
2017,8,6,16.852235,16.830016,18.50126883
2017,8,5,16.806408,16.783726,18.60732283
2017,8,4,18.140456,18.116445,18.66422033
2017,8,3,20.044058,20.015279,18.47191833
2017,8,2,20.737261,20.706723,17.96600883
2017,8,1,18.427195,18.404617,17.781617
2017,7,31,17.488559,17.463992,18.12207767
2017,7,30,17.147793,17.12335,18.20240117
2017,7,29,16.986644,16.964208,18.2160385
2017,7,28,17.008601,16.988296,18.23126867
2017,7,27,19.63091,19.610146,18.23168717
2017,7,26,20.469959,20.447731,17.86722017
2017,7,25,17.9705,17.947968,17.782452
2017,7,24,17.229617,17.20464,18.167241
2017,7,23,17.078025,17.053958,18.31554617
2017,7,22,17.011112,16.983568,18.360075
2017,7,21,17.444108,17.418484,18.3954825
2017,7,20,19.96135,19.933378,18.45259967
2017,7,19,20.279234,20.249725,18.07851017
2017,7,18,18.119448,18.090189,18.00139233
2017,7,17,17.345198,17.319769,18.37061383
2017,7,16,17.223557,17.19724,18.52348333
2017,7,15,17.786811,17.760426,18.571557
2017,7,14,17.716813,17.688395,18.48366117
2017,7,13,19.816527,19.787452,18.39906033
2017,7,12,20.334777,20.303605,17.984575
2017,7,11,18.262415,18.23365,17.88650083
2017,7,10,17.511999,17.483619,18.2325305
2017,7,9,17.259436,17.232938,18.34332683
2017,7,8,17.209208,17.18028,18.36568283
2017,7,7,17.329615,17.297793,18.36699833
2017,7,6,19.746332,19.715038,18.34000767
2017,7,5,20.338593,20.307767,17.92495467
2017,7,4,18.176777,18.1452,17.82274967
2017,7,3,17.393572,17.366425,18.16624983
2017,7,2,17.217101,17.191343,18.297281
2017,7,1,17.167671,17.139079,18.31762033
2017,6,31,17.256014,17.227896,18.30829867
2017,6,30,19.725363,19.693667,18.2589405
2017,6,29,20.237778,20.203283,17.8007365
2017,6,28,18.179759,18.151071,17.70925783
2017,6,27,17.339137,17.311914,18.0353885
2017,6,26,17.111741,17.082874,18.11372917
2017,6,25,16.959865,16.93055,18.0971255
2017,6,24,16.976139,16.948195,18.07546733
2017,6,23,19.688906,19.656562,18.0266295
2017,6,22,20.136543,20.102174,17.5558905
2017,6,21,17.809181,17.776424,17.4762565
2017,6,20,17.012119,16.981647,17.82568117
2017,6,19,16.829916,16.801096,17.9532545
2017,6,18,16.683112,16.652783,17.94147417
2017,6,17,16.864472,16.833123,17.94454517
2017,6,16,19.658739,19.62273,17.9041145
2017,6,15,19.905729,19.866686,17.42111017
2017,6,14,17.777559,17.741798,17.32447983
2017,6,13,16.759234,16.725251,17.65856833
2017,6,12,16.701538,16.669083,17.788308
2017,6,11,16.621888,16.589887,17.787047
2017,6,10,16.760713,16.730642,17.76615267
2017,6,9,19.325947,19.289036,17.74234467
2017,6,8,19.78209,19.743208,17.323121
2017,6,7,17.537672,17.501266,17.20255783
2017,6,6,16.693972,16.660211,17.55040833
2017,6,5,16.496522,16.461048,17.68175133
2017,6,4,16.617865,16.57983,17.70330183
2017,6,3,16.810605,16.774824,17.67724917
2017,6,2,19.058711,19.020962,17.6155135
2017,6,1,19.624775,19.583979,17.21442783
2017,5,30,17.48203,17.447241,17.18993017
2017,5,29,16.625825,16.593842,17.56970683
2017,5,28,16.461549,16.428836,17.6952275
2017,5,27,16.440191,16.40914,17.68814233
2017,5,26,16.652197,16.616463,17.64673117
2017,5,25,19.477789,19.438417,17.55464733
2017,5,24,19.76069,19.720124,16.980421
2017,5,23,17.378949,17.343679,16.80030233
2017,5,22,16.419038,16.38751,17.10755433
2017,5,21,16.191724,16.161616,17.199171
2017,5,20,16.099694,16.067912,17.20332183
2017,5,19,16.032431,16.001932,17.13816833
2017,5,18,18.679978,18.644233,17.0646185
2017,5,17,19.222461,19.184967,16.5657895
2017,5,16,16.968738,16.932968,16.44284817
2017,5,15,16.216629,16.187809,16.76405983
2017,5,14,15.708773,15.68968,16.8389945
2017,5,13,15.591132,15.572416,16.82700617
2017,5,12,15.687004,15.667288,16.82973483
2017,5,11,18.484813,18.432338,16.80263067
2017,5,10,18.896008,18.836115,16.40395983
2017,5,9,16.666237,16.607261,16.29677683
2017,5,8,15.636843,15.587174,16.6386985
2017,5,7,15.607504,15.560515,16.76648267
2017,5,6,15.524379,15.478339,16.76896517
2017,5,5,16.092788,16.04973,16.7701185
2017,5,4,18.25291,18.201058,16.67245583
2017,5,3,18.717767,18.664942,16.365813
2017,5,2,16.403548,16.359083,16.27008333
2017,5,1,15.622399,15.583285,16.640774
2017,4,31,15.531299,15.490871,16.77115383
2017,4,30,15.506812,15.465933,16.81586883
2017,4,29,16.413053,16.371594,16.75973483
2017,4,28,18.143389,18.102468,16.5274555
2017,4,27,18.627692,18.578223,16.02063667
2017,4,26,16.404678,16.361691,15.89635317
2017,4,25,15.799589,15.766389,16.24509067
2017,4,24,15.170008,15.148344,16.262924
2017,4,23,15.019377,15.002322,16.240944
2017,4,22,15.102476,15.074197,16.20686933
2017,4,21,17.881991,17.839516,16.14628383
2017,4,20,18.497103,18.44837,15.63552
2017,4,19,15.906589,15.863324,15.51708517
2017,4,18,15.038128,14.998424,15.912689
2017,4,17,14.814929,14.7771,15.99570467
2017,4,16,14.738963,14.696541,15.979306
2017,4,15,14.817408,14.780885,15.968141
2017,4,14,17.786494,17.742731,15.9173695
2017,4,13,18.280212,18.23333,15.41015033
2017,4,12,15.536222,15.495395,15.27309033
2017,4,11,14.716537,14.677655,15.67177417
2017,4,10,14.671973,14.634228,15.7909285
2017,4,9,14.512779,14.476099,15.81324433
2017,4,8,14.743179,14.706846,15.84119
2017,4,7,17.457852,17.41325,15.83054383
2017,4,6,17.928325,17.880738,15.64101917
2017,4,5,15.431463,15.388843,15.63904367
2017,4,4,14.805868,14.766275,16.06353933
2017,4,3,14.680453,14.642655,16.157536
2017,4,2,14.679302,14.641755,16.134892
2017,4,1,16.320704,16.281448,16.08634433
2017,3,30,17.916472,17.872451,15.70348217
2017,3,29,17.978437,17.933089,15.03740783
2017,3,28,15.369848,15.329083,14.845104
2017,3,27,14.544589,14.50692,15.1719735
2017,3,26,14.388016,14.351406,15.21855033
2017,3,25,14.023531,13.992716,15.1460815
2017,3,24,13.920026,13.891226,15.137067
2017,3,23,16.824614,16.794872,15.13359083
2017,3,22,17.331065,17.293327,14.880544
2017,3,21,14.82405,14.789937,14.8377035
2017,3,20,13.953203,13.919815,15.28078717
2017,3,19,13.969444,13.937809,15.7291455
2017,3,18,13.899169,13.873567,15.87852717
2017,3,17,15.306333,15.276202,15.94873633
2017,3,16,17.074022,17.036751,15.737682
2017,3,15,17.482552,17.443097,15.23853483
2017,3,14,16.643353,16.606254,15.08416117
2017,3,13,14.865734,14.833863,15.1435685
2017,3,12,14.320424,14.290918,15.09826583
2017,3,11,14.040007,14.012261,15.0166295
2017,3,10,14.079139,14.058506,14.96763817
2017,3,9,16.55631,16.543156,14.8913405
2017,3,8,16.999797,16.98285,14.4181215
2017,3,7,14.593918,14.568375,14.33137333
2017,3,6,13.830606,13.800914,14.7099785
2017,3,5,13.746059,13.717394,14.79925467
2017,3,4,13.621353,13.594489,14.77838983
2017,3,3,13.716996,13.695915,14.766464
2017,3,2,16.479308,16.455666,14.7233885
2017,3,1,16.865549,16.843862,14.22660017
2017,2,31,14.366263,14.349969,14.16064133
2017,2,30,13.62087,13.605792,14.57193983
2017,2,29,13.549798,13.533888,14.67218167
2017,2,28,13.458543,13.442215,14.63134233
2017,2,27,13.498578,13.4832,14.60894517
2017,2,26,16.469796,16.453639,14.5657025
2017,2,25,16.834054,16.818967,14.06260483
2017,2,24,14.222321,14.210262,13.9926185
2017,2,23,13.304762,13.295159,14.394808
2017,2,22,13.32416,13.316544,14.51349483
2017,2,21,13.239122,13.231125,14.49619833
2017,2,20,13.45121,13.443672,14.48922933
2017,2,19,16.414136,16.40489,14.45641817
2017,2,18,16.635458,16.625557,13.910093
2017,2,17,14.016883,14.00842,13.81615017
2017,2,16,13.220381,13.212725,14.2311585
2017,2,15,13.197308,13.190335,14.35744383
2017,2,14,13.254343,13.247753,14.35769367
2017,2,13,13.136185,13.129933,14.35449817
2017,2,12,16.071801,16.063971,14.33617367
2017,2,11,16.506933,16.49851,13.8446935
2017,2,10,13.978093,13.970661,13.77048583
2017,2,9,13.198807,13.192224,14.1734345
2017,2,8,13.23517,13.228647,14.2613465
2017,2,7,13.026238,13.019688,14.2359715
2017,2,6,13.12292,13.116268,14.25741817
2017,2,5,16.061687,16.05365,14.28173633
