ISO_2,SecureLoads,Loads,Rate
MY,69728224,88492079,78.80%
PH,83682463,116102962,72.08%
HU,11954957,16226252,73.68%
RS,14801446,18047726,82.01%
SE,13796847,33784497,40.84%
ZW,6598588,8796975,75.01%
UA,18917759,24714036,76.55%
GH,27168176,36586761,74.26%
DK,6151976,7864344,78.23%
CZ,18059265,22337485,80.85%
AE,14622578,18920581,77.28%
MX,38209821,51794230,73.77%
GB,113611019,146273758,77.67%
PL,68464701,88047436,77.76%
EG,70240194,85045544,82.59%
SK,9314918,10836877,85.96%
ZM,6966536,9058011,76.91%
TZ,14897994,23149159,64.36%
NO,11119705,14910382,74.58%
BR,78211829,103756601,75.38%
TH,46080818,60928134,75.63%
HK,5075012,7364211,68.91%
NZ,10455617,13724789,76.18%
MM,28875783,33355548,86.57%
CA,74536308,103570613,71.97%
RO,24556342,30740397,79.88%
ES,30378270,40568884,74.88%
IT,39512650,59960649,65.90%
SD,4420055,5838141,75.71%
ID,398407784,562446209,70.83%
TR,12725016,16648240,76.43%
GR,17630853,24660889,71.49%
VN,29365424,38791280,75.70%
RU,91500322,109559837,83.52%
KH,35859748,41120846,87.21%
PT,10459516,13192050,79.29%
BG,8279180,10131516,81.72%
FI,11521367,15253922,75.53%
AR,25080890,32476662,77.23%
PE,5755742,6755071,85.21%
LB,2571689,3121040,82.40%
IQ,11214887,12841539,87.33%
AT,16696115,21575429,77.38%
IR,25296368,54786462,46.17%
DE,258129511,341518918,75.58%
KW,1966200,6020242,32.66%
MN,9137721,10154658,89.99%
CM,5401184,11393577,47.41%
CO,12906681,17611108,73.29%
CN,20447290,60654521,33.71%
BE,19328782,24506748,78.87%
NG,66919588,99622037,67.17%
UG,17534665,25040655,70.02%
SA,19090907,25848377,73.86%
DZ,41285855,49129891,84.03%
KR,4605460,7175776,64.18%
NP,40580776,46108137,88.01%
HR,5858467,7677872,76.30%
EC,11182117,13097783,85.37%
NL,25139223,30772623,81.69%
CH,21250822,26782143,79.35%
FR,104751327,147821451,70.86%
KE,72974510,94526812,77.20%
ZA,31046707,40423701,76.80%
LK,12472350,16515813,75.52%
BD,160580762,203829544,78.78%
PK,62711905,93925840,66.77%
TW,13462997,17391956,77.41%
US,611645119,789424106,77.48%
CL,5164673,7225607,71.48%
AU,56879704,90369620,62.94%
IN,608465576,880783683,69.08%
VE,15732277,20014428,78.60%
JP,82562229,153071419,53.94%
SG,8881167,12535869,70.85%
ET,15600186,19568281,79.72%
RW,12751849,18288794,69.72%
MA,6372483,8421288,75.67%
