Sector,value,year
Business,177,2011
Educational,57,2011
Govt,54,2011
Health,102,2011
Banking,31,2011
Business,162,2012
Educational,63,2012
Govt,55,2012
Health,167,2012
Banking,24,2012
Business,195,2013
Educational,54,2013
Govt,60,2013
Health,271,2013
Banking,34,2013
Business,263,2014
Educational,57,2014
Govt,92,2014
Health,333,2014
Banking,38,2014
Business,312,2015
Educational,58,2015
Govt,63,2015
Health,275,2015
Banking,71,2015
Business,495,2016
Educational,98,2016
Govt,72,2016
Health,374,2016
Banking,52,2016
