country,type_of_policy,current_framework
Afghanistan,General right to encryption,No known legislation
Afghanistan,Import/export controls,No known legislation
Afghanistan,Licensing/registration requirements,No known legislation
Afghanistan,Min/max standards,No known legislation
Afghanistan,Powers to intercept/decrypt encrypted communications,No known legislation
Afghanistan,Other restrictions,No known legislation
Albania,General right to encryption,No known legislation
Albania,Import/export controls,No known legislation
Albania,Licensing/registration requirements,No known legislation
Albania,Min/max standards,No known legislation
Albania,Powers to intercept/decrypt encrypted communications,No known legislation
Albania,Other restrictions,No known legislation
Algeria,General right to encryption,No known legislation
Algeria,Import/export controls,"While ICT providers are not required to turn over source codes or encryption keys, all hardware and software imported to Algeria must be approved by the Agency for Regulation of Post and Telecommunication, under the Ministry of Post, Information Technology and Communication."
Algeria,Licensing/registration requirements,No known legislation
Algeria,Min/max standards,No known legislation
Algeria,Powers to intercept/decrypt encrypted communications,No known legislation
Algeria,Other restrictions,No known legislation
Andorra,General right to encryption,No known legislation
Andorra,Import/export controls,No known legislation
Andorra,Licensing/registration requirements,No known legislation
Andorra,Min/max standards,No known legislation
Andorra,Powers to intercept/decrypt encrypted communications,No known legislation
Andorra,Other restrictions,No known legislation
Angola,General right to encryption,No known legislation
Angola,Import/export controls,No known legislation
Angola,Licensing/registration requirements,No known legislation
Angola,Min/max standards,No known legislation
Angola,Powers to intercept/decrypt encrypted communications,No known legislation
Angola,Other restrictions,No known legislation
Antigua and Barbuda,General right to encryption,No known legislation
Antigua and Barbuda,Import/export controls,No known legislation
Antigua and Barbuda,Licensing/registration requirements,No known legislation
Antigua and Barbuda,Min/max standards,No known legislation
Antigua and Barbuda,Powers to intercept/decrypt encrypted communications,No known legislation
Antigua and Barbuda,Other restrictions,No known legislation
Argentina,General right to encryption,No known legislation
Argentina,Import/export controls,No known legislation
Argentina,Licensing/registration requirements,No known legislation
Argentina,Min/max standards,No known legislation
Argentina,Powers to intercept/decrypt encrypted communications,No known legislation
Argentina,Other restrictions,No known legislation
Armenia,General right to encryption,No known legislation
Armenia,Import/export controls,No known legislation
Armenia,Licensing/registration requirements,No known legislation
Armenia,Min/max standards,No known legislation
Armenia,Powers to intercept/decrypt encrypted communications,No known legislation
Armenia,Other restrictions,No known legislation
Australia,General right to encryption,No known legislation
Australia,Import/export controls,No known legislation
Australia,Licensing/registration requirements,No known legislation
Australia,Min/max standards,No known legislation
Australia,Powers to intercept/decrypt encrypted communications,"Crimes Act 1914: Section 3LA (inserted by the Cybercrimes Act 2001) allows a law enforcement officer, subject to obtaining a warrant from a magistrate, to require a person to ""provide any information or assistance that is reasonable and necessary to allow a constable to"": (a) access data held in, or accessible from, a computer or data storage device that (i) is on warrant premises; or (ii) is at a place for examination or processing; or (iii) has been seized under the Act, (b) copy data held in, or accessible from, such a computer, or data storage device to another data storage device, (c) convert into documentary form or another form intelligible to a constable: (i) data held in, or accessible from, such a computer, or data storage device or (ii) data held in a data storage device to which the data was copied as described in paragraph (b); or (iii) data held in a data storage device removed from warrant. Failure to comply is punishable with up to two years' imprisonment."
Australia,Other restrictions,No known legislation
Austria,General right to encryption,No known legislation
Austria,Import/export controls,No known legislation
Austria,Licensing/registration requirements,No known legislation
Austria,Min/max standards,No known legislation
Austria,Powers to intercept/decrypt encrypted communications,No known legislation
Austria,Other restrictions,"No known legislation. Specifically, neither the E-Commerce Act (BGBl. I Nr. 152/2001) nor the Telecommunication Act (BGBl. I Nr. 70/2003) restrict the use of encryption."
Azerbaijan,General right to encryption,No known legislation
Azerbaijan,Import/export controls,No known legislation
Azerbaijan,Licensing/registration requirements,No known legislation
Azerbaijan,Min/max standards,No known legislation
Azerbaijan,Powers to intercept/decrypt encrypted communications,No known legislation
Azerbaijan,Other restrictions,No known legislation
Bahamas,General right to encryption,No known legislation
Bahamas,Import/export controls,No known legislation
Bahamas,Licensing/registration requirements,No known legislation
Bahamas,Min/max standards,No known legislation
Bahamas,Powers to intercept/decrypt encrypted communications,"Computer Misuse Act 2003 (Chapter 107A): Section 16(1) allows a police officer or other person authorised in writing by the Commissioner of Police, pursuant to a warrant obtained by a magistrate (under section 70 of the Criminal Procedure Code), to access ""any information, code or technology which has the capability of retransforming or unscrambling encrypted data contained or available to such computer into readable and comprehensible format or text for the purpose of investigating any offence"" or ""to require any person in possession of decryption information to grant him access to such decryption information necessary to decrypt data required for the purpose of investigating any such offence"". Failure to comply is punishable with up to three years' imprisonment or a fine of up to BSD 10,000."
Bahamas,Other restrictions,No known legislation
Bahrain,General right to encryption,No known legislation
Bahrain,Import/export controls,No known legislation
Bahrain,Licensing/registration requirements,No known legislation
Bahrain,Min/max standards,No known legislation
Bahrain,Powers to intercept/decrypt encrypted communications,"Law No. (60) of 2014 On Information Technology Crimes: Article 9 criminalises the use of encryption in order to commit or to conceal any criminal offences, punishable by imprisonment and a fine not exceeding BHD 100,000."
Bahrain,Other restrictions,No known legislation
Bangladesh,General right to encryption,No known legislation
Bangladesh,Import/export controls,No known legislation
Bangladesh,Licensing/registration requirements,No known legislation
Bangladesh,Min/max standards,No known legislation
Bangladesh,Powers to intercept/decrypt encrypted communications,No known legislation
Bangladesh,Other restrictions,No known legislation
Barbados,General right to encryption,"Electronic Transactions Act, 2001 (CAP 308B): Section 21(2) makes clear that, subject to any regulations made under section 21(1), a person can use any encryption programme or product of any bit size or other of measure of strength that they lawfully possess."
Barbados,Import/export controls,"Electronic Transactions Act, 2001 (CAP 308B): Section 21(1) permits the government to make regulations (a) respecting the use, import and export of encryption programmes or other encryption products, and (b) prohibiting the export of encryption programmes or other encryption products from Barbados generally, or subject to such restrictions as may be prescribed. However, section 21(2) makes clear that, subject to any regulations made under section 21(1), a person can use any encryption programme or product of any bit size or other measure of strength that they lawfully possess.
 No regulations so far appear to have been made under section 21(1)."
Barbados,Licensing/registration requirements,"Electronic Transactions Act, 2001 (CAP 308B): Section 21(1) permits the government to make regulations (a) respecting the use, import and export of encryption programmes or other encryption products, and (b) prohibiting the export of encryption programmes or other encryption products from Barbados generally, or subject to such restrictions as may be prescribed. However, section 21(2) makes clear that, subject to any regulations made under section 21(1), a person can use any encryption programme or product of any bit size or other measure of strength that they lawfully possess.
 No regulations so far appear to have been made under section 21(1)."
Barbados,Min/max standards,"Electronic Transactions Act, 2001 (CAP 308B): Section 21(1) permits the government to make regulations (a) respecting the use, import and export of encryption programmes or other encryption products, and (b) prohibiting the export of encryption programmes or other encryption products from Barbados generally, or subject to such restrictions as may be prescribed. However, section 21(2) makes clear that, subject to any regulations made under section 21(1), a person can use any encryption programme or product of any bit size or other measure of strength that they lawfully possess.
 No regulations so far appear to have been made under section 21(1)."""
Barbados,Powers to intercept/decrypt encrypted communications,"Computer Misuse Act 2005: Section 15(2) allows a police officer, subject to obtaining a warrant from a magistrate, to """"have access to any information, code or technology which has the capability of transforming or converting an encrypted programme or data held in or available to the computer into readable and comprehensible format or text, for the purpose of investigating any offence under this Act"""" and """"convert an encrypted programme or data held in another computer system at the place specified in the warrant, where there are reasonable grounds for believing that computer data connected with the commission of the offence may be stored in that other system"""". The magistrate needs to be satisfied that there are reasonable grounds for suspecting that an offence under the Act has been or is about to be committed in any place and that evidence that such an offence has been or is about to be committed is in that place (s. 15(1)). Failure to comply is punishable by imprisonment for up to 18 months or a fine of up to BBD 15,000 (s. 15(4)).
 Section 16(1) also allows that police officer to require """"access to decryption information necessary to decrypt computer data required for the purpose of investigating the commission of [an] offence"""" from any person """"in possession or control of a computer data storage medium or computer system"""". Again, failure to comply is punishable by imprisonment for up to 18 months or a fine of up to BBD 15,000."
Barbados,Other restrictions,No known legislation
Belarus,General right to encryption,No known legislation
